gfa,comb_add,use,ext_plan,developer,status,address,project,submarket,year,lon,lat
323000,"200 E Illinois St, 60611, Chicago, Illinois",Resi,Existing,Optima,Stabilized,200 E Illinois St,Aston,Streeterville,2013,-87.6222,41.8912
250000,"310 N Sangamon St, 60607, Chicago, Illinois",Office,Existing,Tishman,Construction,310 N Sangamon St,310 N Sangamon,Fulton Market,2020,-87.651582,41.887408
363000,"833 N Clark St, 60610, Chicago, Illinois",Resi,Existing,Lincoln / Ryan,Stabilized,833 N Clark St,Aurelien,Gold Coast,2017,-87.6309,41.8977
70000,"4 E Elm St, 60611, Chicago, Illinois",Resi,Existing,DRW,Stabilized,4 E Elm St,4 E Elm,Gold Coast,2016,-87.6285,41.9032
180000,"675 N Wells St, 60654, Chicago, Illinois",Resi,Existing,Lennar,Stabilized,675 N Wells St,Marlowe,River North,2018,-87.634,41.8946
62000,"146 W Erie St, 60654, Chicago, Illinois",Resi,Existing,Sedgwick,Stabilized,146 W Erie St,Bentham,River North,2019,-87.6331,41.8942
263000,"1361 W Lake St, 60607, Chicago, Illinois",Resi,Existing,Marquette,Stabilized,1361 W Lake St,The Mason,Fulton Market,2019,-87.6612,41.8852
218000,"210 N Carpenter St, 60607, Chicago, Illinois",Office,Existing,SBC,Stabilized,210 N Carpenter St,Vendor Village,Fulton Market,2018,-87.6539,41.8858
290000,"300 N Michigan Ave, 60601, Chicago, Illinois",Resi,Existing,Magellan / SBC,Construction,300 N Michigan Ave,Walgreens NMA,Loop,2022,-87.625,41.887
307000,"347 W Chestnut St, 60610, Chicago, Illinois",Resi,Existing,Fifield,Stabilized,347 W Chestnut St,NEXT,Near North,2016,-87.6376,41.8978
200000,"1515 W Webster Ave, 606014, Chicago, Illinois",Office,Existing,SBC,Stabilized,1515 W Webster Ave,CH Robinson,Lincoln Park,2018,-87.6665,41.9208
1173643,"353 N Clark St, 60654, Chicago, Illinois",Office,Existing,Mesirow,Stabilized,353 N Clark St,Mesirow,River North,2009,-87.6303,41.8889
656500,"167 N Green St, 60607, Chicago, Illinois",Office,Existing,Shapack,Construction,167 N Green St,CCC,Fulton Market,2020,-87.648058,41.884999
50000,"1435 N Wells St, 60610, Chicago, Illinois",Resi,Existing,LG Development,Stabilized,1435 N Wells St,1435 N Wells,Old Town,2019,-87.6343,41.9087
694000,"25 W Randolph St, 60602, Chicago, Illinois",Resi,Existing,Golub/CIM,Stabilized,25 W Randolph St,Marquee,Loop,2016,-87.6288,41.8843
59000,"2701 W Armitage, 60647, Chicago, Illinois",Resi,Existing,Eco Development,Stabilized,2701 W Armitage,2701 West Armitage,West Town,2019,-87.6911,41.9178
1300000,"110 N Wacker Dr, 60606, Chicago, Illinois",Office,Existing,RIDC,Construction,110 N Wacker Dr,Bank America,West Loop,2020,-87.6375,41.8837
496000,"365 N Halsted St, 60654, Chicago, Illinois",Resi,Existing,Fifield,Stabilized,365 N Halsted St,K2,River West,2013,-87.6468,41.8887
304800,"811 W Agatite Ave, 60640, Chicago, Illinois",Resi,Existing,JDL,Lease Up,811 W Agatite Ave,Eight Eleven Uptown,Uptown,2018,-87.6502,41.9627
484000,"220 E Illinois St, 60611, Chicago, Illinois",Resi,Existing,Optima,Stabilized,220 E Illinois St,Optima,Streeterville,2017,-87.6215,41.891
191000,"930 W Altgeld St, 60614, Chicago, Illinois",Resi,Existing,Baker Development,Lease Up,930 W Altgeld St,Elevate,Lincoln Park,2018,-87.652,41.9271
148000,"808 W Van Buren St, 60661, Chicago, Illinois",Resi,Existing,Loukas,Construction,808 W Van Buren St,808 Van Buren,Far West Loop,2020,-87.6474,41.8768
223000,"123 N Des Plaines St, 60661, Chicago, Illinois",Resi,Existing,Marquette,Stabilized,123 N Des Plaines St,Catalyst,West Loop,2014,-87.6439,41.8837
69000,"301 W North Ave, 60610, Chicago, Illinois",Resi,Existing,Sedgwick,Stabilized,301 W North Ave,301 North,Old Town,2019,-87.6375,41.911
216000,"1164 W Madison St, 60607, Chicago, Illinois",Resi,Existing,Ascend,Stabilized,1164 W Madison St,Madison/Racine,West Loop,2014,-87.6572,41.8819
363000,"1001 W Chicago Ave, 60642, Chicago, Illinois",Resi,Existing,Bond Companies,Stabilized,1001 W Chicago Ave,Spoke,River West,2017,-87.653,41.896
531190,"1000 W Fulton Market, 60607, Chicago, Illinois",Office,Existing,SBC,Stabilized,1000 W Fulton Market,Google,Fulton Market,2015,-87.652738,41.886858
410000,"520 N Kingsbury St, 60654, Chicago, Illinois",Resi,Existing,Habitat,Stabilized,520 N Kingsbury St,Kingsbury Plaza,River North,2007,-87.6403,41.8911
150000,"23 W Chicago Ave, 60610, Chicago, Illinois",Resi,Existing,JDL,Construction,23 W Chicago Ave,1chicago - Condo,River North,2022,-87.6285,41.8958
367000,"845 N State St, 60610, Chicago, Illinois",Resi,Existing,Newcastle,Stabilized,845 N State St,State & Chestnut,Gold Coast,2015,-87.6285,41.8981
251000,"640 N Wells St, 60654, Chicago, Illinois",Resi,Existing,JDL,Stabilized,640 N Wells St,640 Wells,River North,2017,-87.6346,41.8934
481000,"345 E Ohio St, 60611, Chicago, Illinois",Resi,Existing,Golub,Stabilized,345 E Ohio St,Streeter,Streeterville,2006,-87.619,41.8923
149000,"922 W Washington Blvd, 60607, Chicago, Illinois",Resi,Existing,Atlantic / Focus,Stabilized,922 W Washington Blvd,Circa 922,Fulton Market,2015,-87.6507,41.8834
395733,"One S Halsted St, 60661, Chicago, Illinois",Resi,Existing,Fifield,Lease Up,One S Halsted St,One S Halsted,Far West Loop,2018,-87.6469,41.8813
75000,"171 N Aberdeen St, 60607, Chicago, Illinois",Resi,Existing,MCZ,Lease Up,171 N Aberdeen St,Quarters,Fulton Market,2018,-87.6542,41.8851
400000,"800 W Fulton Market, 60607, Chicago, Illinois",Office,Existing,Thor,Construction,800 W Fulton Market,Thor,Fulton Market,2020,-87.6481,41.8871
480000,"355 E Ohio St, 60611, Chicago, Illinois",Resi,Existing,Golub,Stabilized,355 E Ohio St,Atwater,Streeterville,2009,-87.618,41.8921
98000,"328 N Carpenter St, 60607, Chicago, Illinois",Office,Existing,Murphy,Construction,328 N Carpenter St,328 N Carpenter St,Fulton Market,2020,-87.6537,41.8874
