gfa,comb_add,use,ext_plan,developer,status,address,project,submarket,year,lon,lat
46000,"1750 W Wrightwood Ave, 60614, Chicago, Illinois",Resi,Existing,Broder Prop.,Lease Up,1750 W Wrightwood Ave,Norweta Row,Bucktown,2018,-87.6716,41.9288
134000,"3833 N Broadway, 60613, Chicago, Illinois",Resi,Existing,DLG,Construction,3833 N Broadway,3833 Broadway,Lakeview,2019,-87.6497,41.9523
198000,"222 W Erie St, 60654, Chicago, Illinois",Resi,Existing,McCaffery,Stabilized,222 W Erie St,Flair Tower,River North,2010,-87.6355,41.8941
337000,"1140 N Wells St, 60610, Chicago, Illinois",Resi,Existing,Onni,Construction,1140 N Wells St,OldTown Park - PH II,Near North,2020,-87.6348,41.9023
398000,"340 E North Water St, 60611, Chicago, Illinois",Resi,Existing,DRW,Stabilized,340 E North Water St,North Water,Streeterville,2015,-87.619,41.8898
445000,"300 N Canal St, 60661, Chicago, Illinois",Resi,Existing,Fifield,Stabilized,300 N Canal St,Left Bank,River West,2006,-87.6403,41.8873
50000,"412 N Wells St, 60654, Chicago, Illinois",Office,Existing,Centrum,Stabilized,412 N Wells St,RxBar,River North,2018,-87.6343,41.8898
350000,"765 W Adams St, 60661, Chicago, Illinois",Resi,Existing,White Oak,Stabilized,765 W Adams St,Arkadia,Far West Loop,2015,-87.6468,41.879
230000,"800 N Clark St, 60654, Chicago, Illinois",Resi,Existing,Cedar St,Stabilized,800 N Clark St,Bush Temple,River North,2018,-87.6314,41.8967
308000,"1035 W Van Buren St, 60607, Chicago, Illinois",Resi,Existing,Related,Stabilized,1035 W Van Buren St,Landmark,Far West Loop,2017,-87.6533,41.8764
206055,"145 S Wells St, 60606, Chicago, Illinois",Office,Existing,Moceri & Roszak,Stabilized,145 S Wells St,145 S Wells,Loop,2019,-87.6334,41.8798
2500000,"222 W Merchandise Mart Plaza, 60606, Chicago, IL",Office,Existing,Vornado,Stabilized,222 W Merchandise Mart Plaza,The Mart,River North,2014,-87.636229,41.888812
1300000,"343 W Wolf Point Plaza, 60654, Chicago, Illinois",Office,Existing,Hines,Construction,343 W Wolf Point Plaza,Salesforce,River North,2024,-87.6377,41.887
188000,"740 N Aberdeen St, 60642, Chicago, Illinois",Resi,Existing,Fifield,Construction,740 N Aberdeen St,740 N Aberdeen,River West,2020,-87.6558,41.8958
240000,"50 E Randolph St, 60601, Chicago, Illinois",Resi,Existing,Moceri & Roszak,Construction,50 E Randolph St,50 E Randolph,East Loop,2021,-87.6259,41.8848
402000,"201 N Garland Ct, 60601, Chicago, Illinois",Resi,Existing,TJBC,Stabilized,201 N Garland Ct,MILA,Loop,2016,-87.6248,41.8861
97000,"800 N Milwaukee Ave, 60654, Chicago, Illinois",Resi,Existing,Steve Lipe,Construction,800 N Milwaukee Ave,800 N Milwaukee,River West,2021,-87.656,41.8964
540000,"2365 N Lincoln Ave, 60614, Chicago, Illinois",Resi,Existing,Hines / McCaffrey,Stabilized,2365 N Lincoln Ave,Lincoln Common,Lincoln Park,2019,-87.6481,41.9248
202000,"915 N Orleans St, 60610, Chicago, Illinois",Resi,Existing,Ascend,Stabilized,915 N Orleans St,Niche 905,Near North,2017,-87.6371,41.8991
848000,"555 W Kinzie St, 60654, Chicago, Illinois",Resi,Existing,Fifield,Stabilized,555 W Kinzie St,Alta,River West,2010,-87.6422,41.8887
1350000,"225 S Canal St, 60606, Chicago, Illinois",Office,Existing,RIDC,Construction,225 S Canal St,Union Station - BMO,West Loop,2022,-87.6407,41.8778
220000,"2500 N Milwaukee, 60647, Chicago, Illinois",Resi,Existing,Fifield / Nationwide,Construction,2500 N Milwaukee,Logans Crossing,Logan Square,2019,-87.7038,41.9266
158000,"111 S Peoria St, 60607, Chicago, Illinois",Resi,Existing,LG Development,Stabilized,111 S Peoria St,Illume,Far West Loop,2019,-87.6493,41.88
